#{"t_start": 1683782990.5241468, "env_id": null}
r,l,t
-91.600006,85,432.198293
-94.700005,54,432.359894
-91.700005,84,433.764387
-94.9,52,433.937062
-91.700005,84,434.258039
-94.600006,55,435.10839
-93.4,67,436.062658
-92.50001,76,436.86749
-93.4,67,436.958695
-92.100006,80,437.215458
-93.3,68,437.29742
-93.700005,64,437.75506
-91.200005,89,439.399217
-91.8,83,439.553855
-94.600006,55,439.866452
-92.8,73,440.0661
-94.700005,54,440.63231
-92.600006,75,440.632393
-91.8,83,440.985072
-94.8,53,442.116821
-93.00001,71,442.888108
-92.8,73,442.966128
-92.8,73,443.387836
-91.100006,90,444.625144
-94.9,52,444.891076
-94.8,53,444.969305
-92.4,77,445.809663
-91.700005,84,446.213275
-93.5,66,446.455264
-94.700005,54,446.541857
-90.8,93,447.391879
-91.0,91,447.538526
-94.8,53,447.656635
-93.600006,65,448.192448
-92.700005,74,448.848387
-93.3,68,450.109997
-93.4,67,450.301794
-94.600006,55,450.61423
-91.8,83,451.544994
-92.8,73,451.628719
-93.600006,65,451.628809
-93.5,66,451.759241
-93.4,67,452.742703
-93.4,67,452.818996
-92.700005,74,453.529712
-94.9,52,454.542345
-92.8,73,454.674464
-91.90001,82,454.775241
-94.9,52,455.859823
-94.4,57,456.230866
-92.700005,74,456.661762
-91.4,87,457.227959
-94.5,56,457.468878
-92.8,73,457.757459
-93.200005,69,458.357149
-94.8,53,458.99502
-90.6,95,459.29279
-92.200005,79,459.90764
-94.8,53,460.02687
-93.5,66,460.026956
-94.600006,55,460.777511
-93.4,67,461.220396
-94.4,57,461.35042
-90.6,95,461.757914
-93.5,66,462.150759
-93.5,66,462.434836
-94.700005,54,462.716025
-94.8,53,462.953462
-92.8,73,463.533865
-94.700005,54,463.656072
-92.8,73,465.024046
-94.8,53,465.140151
-92.700005,74,465.216913
-93.00001,71,465.858557
-93.4,67,466.122782
-94.600006,55,466.571391
-92.9,72,467.642597
-93.5,66,467.81231
-94.8,53,467.890404
-93.3,68,468.870865
-95.100006,50,469.174635
-91.8,83,469.408504
-94.700005,54,469.558999
-89.5,106,469.874189
-93.600006,65,471.090603
-92.4,77,471.167294
-93.4,67,471.501742
-94.600006,55,472.246737
-94.5,56,472.246819
-93.5,66,472.781386
-94.600006,55,473.141136
-94.9,52,473.234264
-94.8,53,473.57685
-94.8,53,473.99487
-90.7,94,473.994943
-94.600006,55,475.786257
-92.200005,79,475.786348
-93.5,66,476.246681
-94.700005,54,476.424779
-94.600006,55,477.166801
-91.8,83,477.638805
-92.9,72,477.882793
-94.9,52,478.160667
-94.5,56,478.523843
-93.700005,64,478.72477
-93.00001,71,478.935687
-91.4,87,480.258376
-93.600006,65,481.00774
-93.4,67,481.591135
-92.8,73,481.59122
-95.0,51,482.041136
-94.9,52,482.357288
-92.50001,76,482.64862
-93.4,67,482.648716
-94.700005,54,483.005924
-93.4,67,483.057407
-93.4,67,484.096227
-92.50001,76,484.372319
-92.700005,74,485.618105
-94.9,52,486.21147
-93.4,67,486.371341
-92.9,72,486.755296
-93.4,67,487.256441
-92.700005,74,487.579209
-94.8,53,487.706426
-93.3,68,487.78241
-90.5,96,487.940712
-91.5,86,488.189828
-91.600006,85,489.061428
-94.8,53,489.595571
-92.3,78,490.089652
-94.8,53,490.267363
-93.3,68,491.731817
-94.8,53,492.101777
-94.600006,55,492.194249
-93.00001,71,492.517898
-94.8,53,492.596191
-93.200005,69,493.177068
-92.600006,75,493.405602
-93.3,68,493.57646
-93.3,68,494.683768
-92.600006,75,495.828557
-95.0,51,496.656149
-91.90001,82,496.990877
-93.4,67,497.540286
-93.3,68,497.70047
-94.600006,55,497.777307
-94.600006,55,497.94695
-92.600006,75,498.694687
-93.4,67,498.694766
-89.399994,107,498.927831
-94.4,57,499.318889
-89.399994,107,500.504349
-93.5,66,501.829069
-94.600006,55,502.333521
-93.4,67,502.940909
-95.0,51,502.940994
-93.5,66,502.992055
-90.9,92,503.167497
-94.4,57,503.167581
-91.8,83,503.696999
-92.50001,76,503.942806
-93.4,67,504.026152
-92.8,73,505.119528
-94.8,53,506.109043
-92.9,72,506.215701
-94.8,53,507.261303
-94.700005,54,507.261377
-94.8,53,507.38397
-94.700005,54,507.467997
-92.9,72,508.182189
-92.50001,76,509.033048
-93.5,66,509.21487
-93.200005,69,509.214949
-92.600006,75,510.018302
-95.0,51,510.391167
-92.700005,74,511.134389
-94.5,56,511.835151
-94.700005,54,511.835252
-92.4,77,512.450335
-94.9,52,512.450416
-93.4,67,512.977596
-92.600006,75,513.34652
-94.600006,55,513.463628
-94.700005,54,513.551485
-94.9,52,514.192352
-94.8,53,514.599926
-94.8,53,515.23234
-92.3,78,515.430849
-94.700005,54,516.687346
-93.200005,69,517.266061
-94.5,56,517.344534
-94.700005,54,517.58505
-94.600006,55,517.806458
-92.3,78,518.023799
-93.00001,71,518.023892
-93.700005,64,518.771267
-93.700005,64,519.438477
-95.0,51,519.561637
-92.600006,75,520.688056
-94.600006,55,521.095622
-91.700005,84,522.308596
-94.600006,55,522.474605
-93.3,68,522.850426
-94.8,53,522.94764
-92.9,72,523.502866
-94.9,52,523.682566
-92.9,72,523.971107
-91.8,83,524.684803
-91.90001,82,526.042043
-88.7,114,526.602788
-94.700005,54,526.727528
-95.0,51,526.727612
-92.50001,76,526.852481
-94.700005,54,527.428042
-91.8,83,527.917638
-93.4,67,529.007939
-93.3,68,529.444556
-92.9,72,529.535121
-91.4,87,530.02265
-93.4,67,530.073705
-94.600006,55,531.062778
-95.0,51,531.474302
-93.00001,71,531.705606
-93.200005,69,532.177524
-92.700005,74,532.509326
-92.700005,74,532.740323
-94.5,56,533.849805
-92.50001,76,533.937416
-93.600006,65,534.135369
